CustomerCode,CustomerName,LocationCode,Address
3DEKOF,DEKOFF DEVELOPMENTS (DBA),,
3DEMIC,DEMICO SHEET METAL INC ~COD,,
3DICK,DICKINSON MFG,,
3DIRRO,DIRECT ROOFING & WATERPROOFING,,
3DIXON,DIXON HEATNG & SHEET METAL LTD,,
3DLF,DLF DOMINION SHEET METAL LTD,,
3DOERK,DOERKSEN ROOFING LTD,,
3DOHMS,DAVE DOHMS ~COD,,
3DOLAN,DOLAN'S GASFITTING & HTG LTD,,
3DONCH,DON CHEN ~COD,,
3DORM,DORMEL CONTAINERS,,
3DOWNT,DOWNTOWN CUSTOM METAL ~COD,,
3DRACK,DRACKETT'S INSTALL. LTD,,
3DRAGN,DRAGON FOOD EQUIPMENT INC,,
3DRAKE,DRAKE'S HEATING LIMITED,,
3DSIGN,DESIGN ROOF. & SHEET METAL LTD,,
3DUCT,DUCTWORKS HEATING & A/C LTD,,
3DUNC,DUNCAN'S LIMITED,,
3DWELL,DWELLTECH INDUSTRIESS LTD ~COD,,
3EAGLE,EAGLE SHEET METAL,,
3EBCO,EBCO INDUSTRIES LTD,,
3ECCO,ECCO HEATING PROD LTD - LANGLY,,
3ECO,ECO EXTERIORS (DBA),,
3EDGE,EDGE AIR SYSTEMS LTD,,
3EDUCA,EDUCAN INST. FURNITURE LTD,,
3EEC,EEC INDUSTRIES LTD.,,
3EGLAS,3E GLASS LTD,,
3ELITE,ELITE METAL WORKS LTD,,
3EMBER,EMBERLINE INDUSTRIES LTD.,,
3EMCBU,EMCO CORP #855 - BURNABY,,
3EMCCB,EMCO CORP #752 - CRANBROOK,,
3EMCCH,EMCO CORP #826 - CHILLIWACK,,
3EMCHV,EMCO CORP #841 - HVAC SURREY,,
3EMCKA,EMCO CORP #814 - KAMLOOPS,,
3EMCNA,EMCO CORP #821 - NANAIMO,,
3EMCOA,EMCO CORP #825 - ABBOTSFORD,,
3EMCON,EMCO CORP #848 - NORTH VANC.,,
3EMCOR,EMCO CORP #850 - RICHMOND,,
3EMCPQ,EMCO CORP #824 - PT COQUITLAM,,
3EMCSA,EMCO CORP #809 - SALMON ARM,,
3EMF,EXCEL METAL FAB (1993) LTD,,
3EMHPC,EMCO CORP #840-HVAC PT COQUITL,,
3EMHVV,EMCO CORP #830 - HVAC VICTORIA,,
3EMPER,EMPEROR RACING INC,,
3EMS,EMS CONSULTING LTD,,
3ENER,ENERTECH HEATING (COD),,
3EPICP,REDWOODS PLASTICS &RUBBER CORP,,
3EQUIT,EQUITY PLUMBING & HEATING LTD,,
3ER,ELITE ROOFING LTD,,
3EROOF,EDGE ROOFING LTD,,
3ESFV,ECCO SUPPLY - FRASER VALLEY,,
3ESTHE,ESTHERS SHEET METAL,,
3EURO,EURO ARTISTIC METALS LTD,,
3EXMET,EXMET INDUSTRIES INC.,,
3E-Z,E-Z-RECT MANUFACTURING LTD.,,
3FAB,COBOTIX MANUFACTURING INC,,
3FAST,FASTEEL INDUSTRIES LTD.,,
3FASTC,FASTCUT CNC INC ~COD,,
3FDM,FDM MFG LTD   ~COD~,,
3FEHL,FEHLING'S SHEET METAL LTD,,
3FFAB,FAST FAB INC ~COD~,,
3FIRE,FIREPLACE PRODUCTS INT'L. LTD.,,
3FLAME,FLAMECRAFT HEATING S/M & GAS,,
3FLASH,FLASHCO METALS (SURREY),,
3FLEXY,FLEXYSHOP (2011) LTD,,
3FLYNC,FLYNN CANADA LTD - SURREY BC,,
3FLYNK,FLYNN CANADA LTD - KELOWNA,,
3FLYNN,FLYNN CANADA LTD - SAANICHTON,,
3FMA,FMA FOOD MACHINE AUTOMATION,,
3FORT,FORT FABRICATION & WELDING LTD,,
3FORTI,FORTIFAB MANUFACTURING INC.,,
3FOXMA,FOX MANUFACTURING LTD,,
3FPE,FOUR POINT EXTERIORS LTD,,
3FPS,FPS FOOD PROCESS SOLUTIONS CRP,,
3FRASS,FRASER VALLEY STEEL & WIRE LTD,,
3FRED,FREDERICK'S PREC. METAL FAB,,
3FTI,FINISHING TRADES INSTITUTE BC,,
3FVREF,FRASER VALLEY REFRIG LTD,,
3GA,GA INDUSTRIES INC,,
3GALAS,GALAXIE SIGNS LTD,,
3GANDY,GANDY INSTALLATIONS,,
3GARAV,GARAVENTA CANADA LTD.,,
3GEA,GEA REFRIGERATION CANADA,,
3GENTK,GENTEK BUILDING PRODUCTS LP,,
3GLOBE,INTER-GLOBE BLDG SUPPLIES LTD,,
3GOLDS,GOLD SEAL ROOFING ~COD,,
3GOOD,GOODWINS GREENHOUSES LTD,,
3GP,G.P. PETERSON & SON HEATING LT,,
3GRANT,GRANT ILLUMINATED SIGNS LTD,,
3GRAY,GRAY WOLF STAINLESS STEEL LTD,,
3GRC,GRC COLUMBIA ROOFING INC,,
3GREEN,GREEN THEORY DESIGN INC,,
3GRIZZ,GRIZZLY METAL FAB INC,,
3GTA,GTA SHEET METAL SERV INC,,
3GVC,GREAT VALLEY CONSTRUCTION LTD,,
3GVSD,GREATER VICTORIA SCHOOL DIS 61,,
3GWC,GREAT WHITE CLADDING & DECKING,,
3H&R,H&R SHEET & FAB LTD,,
3HAAKO,HAAKON INDUSTRIES (CANADA) LTD,,
3HAD,HADWINS HVAC & GAS INC,,
3HAM,HAM BUILDING SUPPLIES LTD,,
3HANAL,HANSEL ALUMINUM PRODUCTS LTD,,
3HANSE,HANSEN INDUSTRIES LTD,,
3HARBR,HARBOURVIEW SHEET METAL LTD,,
3HARD,HARDINGS STEEL CO LTD ~ COD,,
3HAUSR,HAUSER BROS CLADDING CORP,,
3HB,HB ROOFING,,
3HCC,HORIZON CLIMATE CONTROLS LTD,,
3HEILT,HEILTSUK TRIBAL COUNCIL,,
3HEIN,HEIN MECHANICAL SERVICES INC,,
3HELIO,HELIOS ROOFING & WATERPROOFING,,
3HELTO,FLEXIFORCE (DBA),,
3HERIT,HERITAGE ROOF & SHT METAL LTD,,
3HIGHL,HIGHLINER TRAILERS LTD,,
3HILIT,HI-LITE TRUCK ACCESSORIES LTD,,
3HLANE,HI-LANE PLASMA STEEL CUTTING,,
3HMG,HMG SHEETMETAL LTD,,
3HNMS,HORIZON NORTH MODULAR SOLUTION,,
3HOME,HOME-WORKS ROOFING & S/M ~ COD,,
3HOMEC,HOMECRAFT MFG CORP,,
3HOMET,HOMETOWN ROOFING LTD,,
3HOWIE,HOWIE'S ROOFING INC ~ COD,,
3HUB,HUB FIRE ENGINES + EQUIPMENT,,
3HUMBL,HUMBLE MANUFACTURING CO LTD,,
3HVAC,HVACTECH SYSTEMS INC - COD,,
3HYDRO,HYDROWEST PRODUCTS LTD,,
3I&J,I&J METAL FAB LTD ~COD,,
3IBC,IBC TECHNOLOGIES INC,,
3IEM,IEM INDUSTRIAL ELECTRIC MFG,,
3IMPAC,IMPACT SHEET METAL LTD,,
3IMPAL,IMPALA CONTRACTING ~COD,,
3INCA,INCA METAL (DBA),,
3INPLU,INTERIOR PLUMBING & HTNG LTD,,
3INTER,INTERIOR ROOFING (2011) LTD,,
3INTL,INTERNATIONAL THERMAL RESEARCH,,
3INTTB,INTERCONTINENTAL TRUCK BODY BC,,
3IOEL,INTERIOR OFFROAD EQUIPMENT LTD,,
3IRON,IRONSIDE DESIGN MFG INC,,
3IRONM,IRONMAN DIRECTIONAL DRILLING,,
3ISMF,ISLANDER SHEET METAL FAB,,
3ISMS,INDUSTRIAL SHEET METAL SUPPLY,,
3ISS,INNOVATIVE STAINLESS SOLUTIONS,,
3JAVA,JAVA ROOFING LTD ~COD,,
3JB,J.B. SHEET METAL LTD,,
3JETST,JETSTREAM BOATS INC ~COD,,
3JG,JG RECYCLING,,
3JGR,JG ROOFING LTD,,
3JMULD,JOHN MULDER HEATING + AC LTD,,
3JOES,JOE'S PLUMBING & HEATING LTD,,
3JUDE,JUDE FARMER CUSTOM ~COD,,
3JUST,JUST INDUSTRIES LTD,,
3JWC,JWC ENVIRONMENTAL CANADA ULC,,
3JWYNK,JUSTIN WYNKER METALS LTD,,
3K&W,K&W GLASS INNOVATIONS LTD,,
3KALAM,LAING ROOFING LTD - VERNON BR,,
3KDM,KDM CONST SUPPLIES LTD,,
3KEITH,MODERN NIAGARA VANCOUVER INC.,,
3KELOW,KELOWNA ROOFING (1984) LTD.,,
3KENS,KEN'S ROOFING SUPPLIES LTD,,
3KENT,KENT METAL PRODUCTS,,
3KIESO,KIESON FAB + MACHINE LTD,,
3KIRKL,KIRKLAND METAL SHOP LTD ~COD,,
3KLEIN,KLEINDALE ROOFING &SHEET METAL,,
3KLINE,K-LINE TRAILERS LIMITED,,
3KMS,KMS TOOLS & EQ LTD,,
3KNUTS,KNUTSFORD ARTISTIC IRONWORKS,,
3KORO,AIRFOAM INDUSTRIES LTD,,
3KPAN,KEITH PANEL SYSTEMS CO LTD,,
3KR,K.R. BROWN HEATING & VENT.,,
3KSIGN,KNIGHT SIGNS,,
3KSM,KSM STAINLESS STEEL FAB LTD,,
3KTOOL,KELOWNA TOOL & DIE LTD,,
3KUSTO,KUSTOM KREATIONS WELDING ~COD,,
3LAING,LAING ROOFING LTD - KELOWNA BR,,
3LANCE,LVR ROOFING,,
3LANDM,LANDMARK SIGN LTD,,
3LANGL,LANGLEY ROOFING CO LTD,,
3LASCF,LASERCAM FABRICATION INC ~COD,,
3LASER,LX LASER AND METAL SUPPLY LTD,,
3LENMA,LENMAK EXTER. INNOVATIONS INC,,
3LEVEL,LEVEL FABRICATORS LTD,,
3LEWIS,LEWIS SHEET METAL LTD,,
3LIFET,LIFETEC CONSTRUCTION GROUP~COD,,
3LINK,LINK DESIGN SERVICES INC,,
3LJCUS,L.J. CUSTOM SHEET METAL LTD.,,
3LKME,LKME PRODUCTS LTD.,,
3LMC,LMC MANUFACTURING LTD,,
3LOGIC,LOGICAL SHEET METAL,,
3LONE,LONE STAR INDUSTRIES LTD,,
3LOS,LCR ROOFING MFG LTD,,
3LUCKY,LUCKY WATERJET CUTTING ~COD,,
3LWEST,LASERWEST FAB INC  ~COD~,,
3LWS,LWS MANUFACTURING & WELDING,,
3M&B,M&B SHEET METAL,,
3M&K,M&K PLUMBING & HEATING CO LTD,,
3M&T,M & T AIR CONDITIONING    ****,,
3M2,M2 GREEN MECHANICAL LTD,,
3MAC,MACK KIRK ROOFING & S/M LTD,,
3MACIN,MAC INDUST. EXHAUST SHOP INC,,
3MACPH,MACPHERSON BROWN LTD,,
3MACRO,MACBETH ROOFING &WATERPROOFING,,
3MADCR,MADGE CUSTOM ROOFING LTD,,
3MAGAS,MAGAS ROOFING (2017) LTD,,
3MAIN,MAINLINE ROOFING CO. LTD.,,
3MAMMO,MAMMOTH METAL ROOFS INC ~COD,,
3MANTN,BAILEY METAL PRODUCTS - SURREY,,
3MARK,MARKEY MECHANICAL LTD ~COD,,
3MARLN,HORIZON NORTH MODULAR MFG INC,,
3MARME,MARCON METALFAB INC,,
3MARMO,MARMON/KEYSTONE CANADA INC,,
3MARRS,MARRS ROOFING LTD,,
3MART,MARTECH MOTOR WINDING LTD,,
3MATT,MATT CLADD INDUSTRIES,,
3MAX,MAXAM METAL PRODUCTS LTD.,,
3MBP,MAINLAND BLDG PROD LTD,,
3MCLAD,MASTERCLAD ROLLFORMING INC,,
3MCRAF,METALCRAFT TECHNOLOGY INC,,
3MCREW,METAL CREW INSTALLATIONS LTD,,
3MEL,MEL-VIEW METAL INC,,
3MENZI,MENZIES ROOFING CORP,,
3META,METAL MART,,
3METRO,METRO ROOF. & SHEET METAL LTD,,
3METSB,METAL SUPERMARKETS - BURNABY,,
3METSK,METAL SUPERMARKETS KELOWNA DBA,,
3METSL,METAL SUPERMARKETS - LANGLEY,,
3METSR,METAL SUPERMARKETS - RICHMOND,,
3METSU,METAL SUPERMARKETS - VICTORIA,,
3MG,MG PROFILE BURNING,,
3MGORD,MATT GORDON ROOFING & SHEET,,
3MH,M & H MACHINERY LTD,,
3MIDVA,MIDVALLEY SHEET METAL LTD,,
3MIGHT,MIGHTY FORGE,,
3MILL,MILLENNIUM SPECIALTY ALLOYSLTD,,
3MILLB,MILLBROOK ROOFING + S/M INC,,
3MILLS,MILLSTONE HEATING & S/B LTD,,
3MINIM,MINIMAL GLASS AND DOOR LTD,,
3MJDGL,MJD GLASS (2016) LIMITED,,
3MKERR,MATTHEW A KERRIGAN,,
3MONAS,MONASHEE MFG CORP LTD,,
3MRO,METAL ROOFS ONLY  ~COD~,,
3MROOF,MARINE ROOFING (1996) LTD,,
3MTROP,METALTROPOLIS,,
3MVI,METAL VENTURES INC,,
3MYERS,MYERS ROOFING INC,,
3NAKA,NAKA WELDING ~COD,,
3NANAI,NANAIMO SHEET METAL LTD,,
3NATC,NORTH AMERICA TRAILER COMPANY,,
3NAVIS,NXSTAR SYSTEMS INC,,
3NBD,NORTH BLUFF DESIGN LTD,,
3NBSL,NORTHERN BUILDING SUPPLY LTD,,
3NCSM,NEW CENTURY SHEET METAL LTD,,
3NEELS,NEELS HEATING & SUPPLIES LTD,,
3NEON,WESTCOAST NEON WORKS ~COD,,
3NHEAT,NOVA HEATING & SHEET METAL2013,,
3NHOOK,NEWHOOK'S METAL FAB LTD,,
3NICKL,NICKEL HEATING & VENTILATION,,
3NIELS,NIELSEN ROOF & SHEET MTL LTD,,
3NOR,NOR-MAR INDUSTRIES LTD,,
3NORRE,NOR RENOVATIONS LTD,,
3NORTK,NORTEK EXTERIORS,,
3NORTW,NORTHWIND HEATING LTD,,
3NORWE,NORTHWEST SHEET METAL LTD,,
3NOVA,NOVA POLE INTERNATIONAL INC,,
3NOVAK,NOVA KOOL MFG. ULC.,,
3NOWES,NORTHWESTERN SYSTEMS CORP,,
3NSIDE,NORTHSIDE INDUSTRIES INC,,
3NTC,NORTH-TECH CST LTD ~COD,,
3NU,NU DIMENSIONS FABR & MFG,,
3NWM,NORTHWEST WATERJET & MFG LTD.,,
3OKANS,OKANAGAN STAINLESS LTD,,
3OLYMP,OLYMPIC ROOFING LTD,,
3ON,ONSITE METAL FORMING LTD,,
3ONE,CIMS LIMITED PARTNERSHIP,,
3OPAG,OPAG SHEET METAL LTD,,
3ORCAS,ORCA SOLUTIONS LTD,,
3ORIG,ORIGINAL COPPER DESIGNS (COD),,
3OSCM,ON-SITE CUSTOM METALS ~COD,,
3OTOMO,OTOMOX BUILDING SOLUTIONS LTD,,
3OVER,OVERLANDERS MANUFACTURING INC,,
3OZ,OZ ROOFING ~COD,,
3PACIF,PACIFIC ENERGY FIREPLACE,,
3PACRS,"PACIFIC RESTAURANT SUPPLY, INC",,
3PACSM,SHAPE METALS INC ~COD,,
3PACVA,PACIFIC VALLEY SIDING INC,,
3PAIRE,PACAIRE HVAC SUPPLIES LTD,,
3PAPCO,PAPCO BUILDING SUPPLY LTD,,
3PARKH,PARKINSON'S HEATING LTD,,
3PARKL,PARKER JOHNSTON IND LTD,,
3PARKR,PARKER JOHNSTON IND LTD,,
3PARKS,PARKER JOHNSTON IND LTD,,
3PARMT,PARAMOUNT COMPONENTS LTD,,
3PE,PACIFIC ENCLOSURES LTD,,
3PEAK,PEAK-TO-VALLEY ROOFING,,
3PEAKP,PEAK PRODUCTS MFG INC,,
3PEMBH,PEMBERTON HTNG & SHEET METAL,,
3PERFE,KLASSEN BLDG SUPPLIES LTD,,
3PERRI,688136 BC LTD,,
3PGUTT,PRECISION GUTTERS LTD,,
3PHOE,PHOENIX GLASS INC,,
3PHOEN,PHOENIX METALS LTD,,
3PIEDM,PIEDMONT SHEET METAL - BBY,,
3PIKE,PIKE SHEET METAL LTD,,
3PINN,PINNACLE ROOFING LTD,,
3PK,PK METAL WORKS LTD,,
3PLASM,PLASMATECH PROFILE CUTTING INC,,
3PLAY,PLAYSTED SHEET METAL LTD,,
3POCK,POCKLINGTON BLDG SYSTEMS,,
3POLST,POLSTAR SHEET METAL,,
3POPE,POPE & SONS REFRIGERATION LTD,,
3PRECI,PRECISION METALS LTD.,,
3PREMI,PREMIUM COMFORT HEATING & AIR,,
3PRIMX,PRIMEX IND (612240 BC LTD),,
3PRINC,PRINCE SHEET METAL & HTNG LTD,,
3PRO,PRO-TECH EXTERIOR PROD LTD,,
3PRONE,PRONEX AIR SYSTEMS INC,,
3PROR,PROLINE ROOFING LTD,,
3PROTE,PROTECH WELDING LTD,,
3PTI,P.T.I. (PUNCH TOOLS INC.),,
3Q-1,Q-1 WELDING LTD,,
3QAS,QUALITY AWNING & SIGNS LTD,,
3QUALI,PACIFIC QUALITY EXTERIORS LTD,,
3QUALS,FASCIAL EXPRESSIONS ~ COD ~,,
3QUEST,QUEST METAL WORKS LTD,,
3RADCL,RADCLAD STEEL IND LTD,,
3RADIA,RADIAN MECHANICAL INC,,
3RAJA,RAJA TRAILER & EQUIP SALES LTD,,
3RANKN,RANKIN SKYLINE SERV LTD,,
3RARE,RARE MANUFACTURING INC,,
3RAS,PRECISION PULLEY & IDLER INC.,,
3RAVEN,RAVEN METAL PRODUCTS,,
3RAVMP,RAVEN METAPRO SYSTEMS INC,,
3RAZOR,RAZOR MANUFACTURING,,
3RCABC,RCABC EDUCATIONAL FOUNDATION,,
3RCR,R.C. ROOFING LTD,,
3REBEL,REBELLE ARCHITECTURAL LIGHTING,,
3RED,"ALBERTA INDUSTRIAL METALS, A",,
3REDBL,RED BLUE HEATPUMPS &,,
3REIDC,REIDCO METAL INDUSTRIES LTD,,
3RELST,RELIABLE STEEL TRADERS LTD,,
3REMAC,R.E. MACDONALD STOVES & STONES,,
3REMT,REMTEK INDUSTRIES LTD,,
3RENWN,RENOWN INDUSTRIES LTD,,
3REPP,REPP INDUSTRIES ROOFING ~COD,,
3RH,R.H. JONES &SON MECHANICAL LTD,,
3RIC,R.I.C. METALWERX INC,,
3RICHE,RICHELIEU HARDWARE CANADA LTD,,
3RIDGE,RIDGE SHEET METAL LTD.,,
3RIPLE,RIPLEY STAINLESS LTD,,
3RISNG,RISING STRUCTURES LTD,,
3RITE,RITE-WAY METALS,,
3RJM,RJM GUTTER & SOFFIT,,
3RM,RM TRAILER LTD,,
3RMT,RMT METAL WORKS LTD,,
3RND,RND PRECISION HVAC LTD,,
3RNELS,NELSON ROOFING & SHEET METAL,,
3ROOF,ROOFMART PACIFIC LTD - SURREY,,
3ROOFK,PACIFIC ROOF CENTRE - KELOWNA,,
3ROOFV,PACIFIC ROOF CENTRE - VERNON,,
3ROSSM,ROSS MILLER ROOFING ~COD,,
3ROY,ROY DENNIS ROOFING (2005) LTD,,
3RPR,RPR HEATING & A/C,,
3RS,RS HEATING & SHEET METAL LTD,,
3RUGGI,RUGGID COAST (DBA) KINGFISH H-,,
3RUSKI,A.J. FORSYTH - KITIMAT,,
3RUTLA,RUTLAND GLASS (1999) LTD,,
3SALAR,SALMON ARM ROOFING & SHEET MET,,
3SAMS,SAMSON METALS LTD,,
3SANGH,SANGHA INSULATED DOORS,,
3SCHNI,SCHNITZER STEEL CANADA LTD,,
3SCS,SCS STEEL CONTAINER SYS INC,,
3SDESJ,S DESJARDINES & ASSOC LTD,,
3SEAML,SEAMLESS ENCLOSURES & 4ELEM,,
3SECUR,SECURITY MACHINE & ALLSPAN,,
3SEVEN,7 STAR WELDING&FABRICATION~COD,,
3SFS,SILVER FERN STAINLESS LTD,,
3SGM,SGM CUSTOM DESIGN & FAB ~COD,,
3SHEET,SHEET METAL WORKERS TRAINING,,
3SHERI,SHERINE INDUSTRIES LTD,,
3SHERW,SHERWOOD INDUSTRIES LTD.,,
3SHUR,SHUR-FIT PRODUCTS LTD,,
3SIEGS,SIEG'S MANUFACTURING LTD.,,
3SILHO,SILHOUETTE ENCLOSURES LTD,,
3SILVE,SILVER STREAK BOATS LTD,,
3SIMPS,SIMPSON STRONG-TIE INC,,
3SINCK,SINCLAIR SUPPLY - KELOWNA,,
3SINCL,SINCLAIR SUPPLY - SURREY,,
3SKIRK,SELKIRK SIGNS & SERVICE LTD,,
3SKYLU,SKYLUX ROOFING LIMITED,,
3SKYWI,SKY WINDOWS LTD,,
3SLEGG,SLEGG BUILDING MATERIALS,,
3SLIM,SLIMLINE MANUFACTURING (2016),,
3SMART,SMART GARAGE DOOR LTD,,
3SMECH,SOUTHERN MECHANICAL SERV INC,,
3SMITH,SMITH SHEET METAL WORKS LTD,,
3SOARE,SOARE CONTRACTING INC,,
3SONIC,SONIC ENCLOSURES LTD.,,
3SOURC,SOURCE DISPLAY INC,,
3SOV,SOV CONSTRUCTION INC,,
3SPART,RELIABLE TUBE | SPARTAN METAL,,
3SPECI,SPECIFIC MECHANICAL SYSTEMS,,
3SPECT,SPECTRUM SHEET METAL LTD,,
3SSR,SSR ROOF SUPPLY LTD,,
3STANR,STANDARD ROOFING (2016) LTD.,,
3STAR,STARLINE ARCH WINDOWS LTD,,
3STARF,STARFIRE GLAZING LTD,,
3STEEL,STEELHEAD ENTERPRISES LTD,,
3STERF,STERLING FENCE CO LTD,,
3STOKE,STOKE SHEET METAL BENDING LTD,,
3STOLL,STOLLCO INDUSTRIES LTD.,,
3SUMM,SUMMIT METAL PROD LTD   ~COD~,,
3SUMMI,SUMMIT STEEL CLADDING INC,,
3SUN,SUN VALLEY ROOFING LTD,,
3SURFA,SURFACE EXTERIORS LTD DBA BLA-,,
3SURLA,SURLANG ROOFING LTD,,
3SYNER,SYNERGY ROOFING ~COD,,
3TAM,TWIN ANCHORS MANUFACTURING~COD,,
3TANT,TANTALUS ROOF & SM SYSTEMS,,
3TAYLM,TAYLOR METALS,,
3TB,TITAN BOATS LTD,,
3TD,TD MANUFACTURING,,
3TDPSL,TD PRECISION STEELWORKS LTD,,
3TDS,"TDS TECHNOLOGIES, DIV. OF",,
3TEMP,TEMPRITE CLIMATE SOLUTIONS,,
3TGS,TRANSPARENT GLAZING SYSTEMSLTD,,
3THEOL,THE OLD ROOFER,,
3THOMP,THOMPSON HEATING LTD,,
3THUND,WEATHERBY'S ROOFING & S/METAL,,
3TI,TRAILL INDUSTRIES ~COD,,
3TIDYT,TIDY TANKS (1997) LTD,,
3TIN,TIN MAN METAL WORKS (DBA),,
3TN,T&N ROOFING LTD,,
3TOMTA,TOMTAR ROOFING & S/M LTD,,
3TOPLI,TOP LINE ROOFING LTD.,,
3TORO,TORO ALUMINUM,,
3TRAIL,TRAIL ROOFING LTD,,
3TRANS,TRANSWEST ROOFING LTD.,,
3TRATE,TRATECH MECHANICAL LTD,,
3TRI,TRI CITY FLASHING LTD,,
3TRICI,TRI CITY METAL INC,,
3TRIDE,TRIDENT MANUFACTURING LTD,,
3TRIME,TRI-METAL FABRICATORS,,
3TRITO,TRITON AUTOMOTIVE & IND LTD,,
3TRIUM,TRIUMF - U.B.C.,,
3TROJA,TROJAN ALLOYS LTD,,
3TROWL,TROWEL TRADES ACCESSORIES LTD,,
3TRUE,TRUE BLUE WIRE PRODUCTS INC,,
3TRYDO,"WESCO UTILITY, A DIV OF WESCO",,
3TVR,THOMPSON VALLEY ROOFING LTD,,
3TW,TRAILER WIZARDS LTD,,
3TWIN,TWIN RIVER PLMG & HTG 1985 LTD,,
3TY,TY-CROP MANUFACTURING LTD,,
3UAS,UAS CANADA INC,,
3UBC,UNIVERSTIY OF BRITISH COLUMBIA,,
3UNIT,UNITRAN MFG LTD,,
3UNIV,UNIVEYOR CONVEYORS,,
3UNIVE,UNIVERSAL S/M LTD,,
3UPPAL,UPPAL BUILDING SUPPLIES,,
3USM,UPPAL SIDHU METALS LTD ~COD,,
3VALCO,VALCOURT & SONS,,
3VALID,VALID MANUFACTURING LTD,,
3VALL,VALLEY PLUMBING & HEATING,,
3VALLE,VALLEY COMFORT SYSTEMS INC,,
3VALLP,VALLEY POWDERCOAT LTD,,
3VALM,VALMONT WEST COAST ENGINEERING,,
3VANDO,VAN DOREN SALES NORTH INC,,
3VANSS,VANCOUVER STAINLESS STEEL ~COD,,
3VARST,VARSTEEL LTD,,
3VENTU,VENTURE SUPPLIES LTD ~COD,,
3VGOOL,VANGOOL CUSTOM SHEET METAL LTD,,
3VIADU,VIADUCT SHEET METAL LTD,,
3VICE,VICE DESIGN ~COD,,
3VIKNG,VIKING PROFILES INC,,
3VISIO,VISION MECHANICAL LTD,,
3VMAC,VMAC GLOBAL TECHNOLOGY INC,,
3VP,VORTEX PNEUMATICS LTD,,
3VRH,VICTORY RANGE HOODS ~COD,,
3WASTE,WASTELINE CONTAINERS LTD,,
3WATER,WATERTIGHT SYSTEMS,,
3WAYC,WAYCON MANUFACTURING LTD,,
3WAYNC,WAYNE BLDG PROD LTD - CALG,,
3WBAY,WEST BAY MECHANICAL LTD,,
3WCAN,WESTERN CANADIAN SCREENS LTD,,
3WCE,WEST COAST ELECTRIC LTD,,
3WCLF,WESTCOAST CREATIVE LASER FORM,,
3WCMW,WEST CORE METAL WORKS LTD,,
3WCP,WESTERN CHECKER PLATE INC,,
3WEDGE,WEDGE ROOFING LTD,,
3WESGA,WESGAR INDUSTRIES LTD,,
3WESM,WESTMAN STEEL - AIRDRIE,,
3WESML,WESTMAN STEEL - LANGLEY,,
3WESTE,WESTERN ROOFING MASTER ROOFERS,,
3WESTF,WESTFORM METALS INC,,
3WESTO,WESTON ROOFING,,
3WESTW,WESTWOOD METALS LIMITED,,
3WG,WEATHERGUARD GUTTERS,,
3WIGHT,WIGHTMAN MECHANICAL (DBA),,
3WITS,W.I.T.S METAL FAB INC,,
3WMI,WMI MANUFACTURING CORP,,
3WOCLY,WOLSELEY IND CAN INC (LANG),,
3WOPKA,WOLSELEY MECH. GROUP-KAMLOOPS,,
3WWAY,WESTWAY PLBG & HTNG (2011) INC,,
3WYNKE,WYNKER BROS EXT & MANUFAC LTD.,,
3XTREM,XTREME ROOFING ~COD,,
3XTRPO,XTREME POLISHING LTD,,
3YANG,YANG GUANG ENTERPRISES ~ COD,,
3ZERO,KINGSPAN INSULATED PANELS LTD,,
5NATIO,NATIONAL SALVAGE LTD,,
83ALLA,ALL AMERICAN METAL PRODUCT(US),,
83CASH,CASH SALES - U.S. (CASC),,
9DORM,DORMEL CONTAINERS (U.S.),,
9FPS,FPS FOOD PROCESS SOLUTION(U.S),,
9HELTO,FLEXIFORCE (DBA) (U.S.),,
9PEAKP,PEAK PRODUCTS MFG INC (U.S.),,
9SPECI,SPECIFIC MECH SYSTEMS (U.S.),,
